Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
5mthf[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5mthf[fe]	2000	0	0	2000	0	0	2000	2000	2000	0	2000	2000	2000	0	0	2000	0	0	2000
5mthf[u]	2000	0	0	2000	0	0	2000	2000	2000	0	2000	2000	2000	0	0	2000	0	0	2000
5oh_sulfp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5oh_sulfp[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5oh_sulfp[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5oh_sulfp_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5oh_sulfp_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5oh_sulfp_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5ohfvs[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ohfvs[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5ohfvs[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5ohfvsglu[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ohfvsglu[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
5ohfvsglu[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6bhglz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bhglz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6bhglz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6bhglzglc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6bhglzglc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6bhglzglc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6ohfvs[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6ohfvs[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6ohfvs[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6ohfvsglu[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6ohfvsglu[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
6ohfvsglu[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
7a_czp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
